Price,Place,Beds,Bath,Sq.Ft
1100000,Altadore,4,3.5,2025
1095000,Eau Claire,2,2.5,1921
825000,Edgemont,4,3.5,2249
457500,Dover,3,2,969
299000,Seton,1,1,582
459000,Penbrooke Meadows,5,1,1022
339990,Albert Park/Radisson Heights,3,2,845
685000,Sage Hill,5,3.5,1356
669900,Sage Hill,5,3.5,1357
299900,Beltline,1,1,658
223000,Canyon Meadows,2,2,824
485000,Taradale,3,1,802
649900,Walden,3,2.5,1402
374900,Parkland,2,2,1036
849900,Willow Park,4,3,1232
569900,Auburn Bay,4,3.5,1475
709900,Walden,3,2.5,1025
949900,Altadore,4,3.5,1959
400000,Dover,5,2,1100
527875,Mahogany,3,2.5,1426
799800,Haskayne,4,3.5,1529
699888,Acadia,4,3,1044
440000,Auburn Bay,2,2.5,1290
392900,Woodbine,3,1.5,1038
575000,Belvedere,3,2.5,1428
289000,Beltline,1,1,650
339900,Downtown East Village,2,2,766
399900,Citadel,3,2.5,1100
244900,Kincora,2,1,540
669000,Saddle Ridge,3,2.5,1955
700000,Hillhurst,2,2,1482
500000,Ranchlands,4,2.5,1106
289900,Beltline,2,1,935
925000,Sherwood,5,3.5,2368
820000,Killarney/Glengarry,4,3.5,1737
225000,Beltline,2,1,765
625000,Westgate,4,1.5,1174
615000,Willow Park,5,2,1149
649888,Bankview,4,2.5,1487
790000,Montgomery,5,3.5,1770
814900,Belvedere,3,3,2373
565000,Silverado,4,2.5,1509
485000,Erin Woods,4,1.5,1093
550000,Coventry Hills,3,2.5,1550
649900,Arbour Lake,6,3,1448
375000,Beltline,2,2,910
320000,Kelvin Grove,2,2,996
1349000,Parkhill,3,3.5,2046
425000,Downtown Commercial Core,2,2,759
389900,Spruce Cliff,2,2,992
1450000,Cambrian Heights,3,2,2439
409900,Country Hills,3,1.5,1240
545000,Silverado,4,3.5,1323
645000,Montgomery,3,1.5,681
529500,Seton,4,3.5,1245
864999,Royal Oak,4,3.5,2380
877695,Hillhurst,3,2.5,1201
990000,Sherwood,6,4,2931
935000,Collingwood,3,2,1230
515000,Coventry Hills,3,3.5,1311
1399900,Canyon Meadows,5,3.5,2629
489900,Marlborough,4,2,973
375000,West Hillhurst,2,1.5,531
1499900,Strathcona Park,3,3.5,3220
839000,Pine Creek,4,3.5,2102
365000,Seton,2,2,843
430000,Shawnee Slopes,2,2,985
358000,Belmont,2,2,874
369000,Seton,2,2,891
524900,Inglewood Grove,3,2.5,1186
1499900,Scarboro,5,3,2470
624900,Bankview,2,2,1623
718500,Christie Park,2,2.5,1218
749900,Hamptons,3,2.5,1558
699900,Eau Claire,2,2,1566
459900,Patterson,2,3.5,1423
675000,Coventry Hills,4,3.5,1752
2224900,North Glenmore Park,6,3.5,3071
309900,Beltline,1,1,641
440000,Copperfield,2,2.5,1261
2350000,Eau Claire,2,2.5,2882
475000,Walden,3,2.5,1524
679000,Castleridge,4,3.5,2191
320000,Shawnessy,2,2,926
